filename,width,height,class,xmin,ymin,xmax,ymax
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,280,282,374,394
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,0,309,51,355
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,11,242,64,300
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,313,465,385,549
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,262,468,362,588
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,228,407,322,528
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,307,383,408,515
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,260,358,351,453
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,675,30,719,72
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,683,0,720,44
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,510,184,544,216
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,522,166,558,196
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,334,0,395,60
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,309,0,367,67
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,283,32,344,97
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,325,321,429,444
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,276,59,328,117
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,232,19,286,68
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,230,54,283,105
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,60,610,124,686
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,7,583,73,651
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,0,631,60,720
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,43,642,102,715
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,576,188,599,213
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,666,356,692,382
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,521,484,556,520
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,540,516,570,546
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,498,340,525,366
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,125,536,151,562
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,506,357,531,381
tomates_2020-08-06-11-35-15_side_0225_01.jpg,720,720,Tomato,522,667,567,712
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,36,199,69,234
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,238,208,269,247
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,72,0,100,36
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,28,0,58,26
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,23,26,52,56
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,3,191,40,237
tomates_2020-08-06-11-35-15_side_0126_00.jpg,720,720,Tomato,167,407,208,447
